DocumentID,Weight
228,59.2405
229,54.1444
230,77.9661
231,56.4278
232,46.4756
233,41.5284
234,42.8813
235,49.2683
236,58.7583
237,60.184
238,49.4542
239,40.4347
240,50.9091
241,46.9032
242,33.9644
243,43.8755
244,57.5855
245,43.2163
246,42.4589
247,59.1739
248,33.2465
249,51.1168
250,54.6191
251,42.3968
252,66.7286
253,49.9628
254,70.8455
255,49.9392
256,62.0253
257,43.1985
258,53.1168
259,44.7308
260,68.4411
261,62.0737
262,62.2642
263,59.8759
264,73.0496
265,45.8861
266,44.1163
267,63.1103
268,35.3718
269,55.7675
270,62.6389
271,40.2084
272,57.1283
273,56.3477
274,63.5279
275,48.8022
276,41.6043
277,51.7272
278,34.9567
279,38.231
280,36.1225
281,36.1243
282,42.2676
283,47.5576
284,47.2203
285,45.9618
286,44.9246
287,65.9341
288,35.6493
289,53.3766
290,49.8477
291,40.6973
292,72.2603
293,61.4964
294,48.204
295,69.1383
296,71.6418
297,36.6735
298,37.7389
299,55.857
300,43.9394
301,60.3053
302,32.9963
303,33.7714
304,64.1457
305,61.3043
306,33.4756
307,34.4338
308,36.6035
309,46.0702
310,45.6083
311,71.9008
312,51.5723
313,65.4
314,47.3259
315,57.4096
316,74.0299
317,50.0813
318,67.4242
319,50.646
320,60.0275
321,53.7234
322,45.0657
323,69.3548
324,30.5276
325,36.3516
326,59.6244
327,38.8753
328,53.3717
329,56.2092
330,40.2502
331,52.882
332,35.137
333,45.4229
334,51.198
335,63.9866
336,65.2469
337,57.585
338,54.4272
339,59.1699
340,62.09
341,64.2053
342,56.6245
343,62.4221
344,62.8748
345,62.374
346,65.3422
347,53.968
348,28.9987
349,62.9891
350,55.4804
351,68.7008
352,62.9146
353,59.6488
354,62.3878
355,64.3753
356,67.3146
357,59.3444
358,58.858
359,55.5766
360,59.4665
361,65.625
362,51.0004
363,52.9204
364,59.1209
365,63.0221
366,63.1924
367,62.5578
368,58.5169
369,62.813
370,59.759
371,58.3203
372,59.0798
373,50.5977
374,56.938
375,51.1489
376,54.4695
377,31.0659
378,36.3673
379,31.3228
380,30.7733
381,30.8109
382,26.9541
383,35.9073
384,31.8553
385,35.1394
386,48.588
387,38.3434
388,27.1218
389,28.6804
390,30.5288
391,32.2605
392,28.8724
393,36.0509
394,40.0653
395,46.4107
396,34.4591
397,57.6803
398,76.8382
399,71.8519
400,59.2476
401,77.3381
402,60.1031
403,77.6978
404,51.2981
405,75.8993
406,51.63
407,50.0911
408,81.362
409,60.4361
410,77.5735
411,54.1969
412,72.3247
413,58.4189
414,74.552
415,56.5979
416,76.7857
417,58.5216
418,51.7659
419,73.9286
420,56.701
421,74.8201
422,58.4964
423,73.4767
424,57.3787
425,48.8818
426,48.074
427,45.8418
428,59.0095
429,74.5455
430,31.8753
431,52.1739
432,31.9318
433,31.8629
434,31.4454
435,31.022
